Date,BETA0,BETA1,BETA2,BETA3,TAU1,TAU2
27-03-1991,0.0000189,5.77780552,7.00485315,22.71160478,3.24632393,17.04408148
28-03-1991,0.00109597,5.6465914,6.84123502,23.0127764,2.91895266,15.58927994
01-04-1991,0.00014954,5.65013622,6.77176007,23.02662768,2.97849063,15.71691233
02-04-1991,0.00010907,5.67129626,6.54674699,22.90501046,3.08438146,15.94685247
03-04-1991,0.00003537,5.6754137,6.55864162,22.89989501,3.09770555,15.90398795
04-04-1991,0.0026018,5.64860018,6.14498217,22.9853715,2.87567639,14.65274561
05-04-1991,0.00701456,5.57849154,6.30229181,22.90999858,2.89719786,14.86357161
08-04-1991,0.00612474,5.56455475,6.31903007,22.89294539,2.87651783,14.84158941
09-04-1991,0.02380899,5.52004574,6.4708137,22.92733376,2.87778185,14.87542229
10-04-1991,0.14351198,5.37827749,6.30119497,23.29619033,2.51488222,13.52863425
11-04-1991,0.14135644,5.39315161,6.0572827,23.17322546,2.65953489,13.70635932
12-04-1991,0.72685264,4.7047901,5.61319839,21.74035375,2.32386117,12.74839911
